"var","p1","p2","p3","p4","p5","p6"
"FDL",32.2,0.31,NA,NA,NA,NA
"FMSB",-3.28,6.84,NA,NA,NA,NA
"FDB",2.04,2.12,NA,NA,NA,NA
"TDL",32.1,0.37,NA,NA,NA,NA
"TPB",16.95,2.17,NA,NA,NA,NA
"TMSB",0.41,7.42,NA,NA,NA,NA
"TDB",18.43,3.07,NA,NA,NA,NA
"FBDL",33,0.38,NA,NA,NA,NA
"HDL",25.33,0.46,NA,NA,NA,NA
"HPB",-3.93,3.97,NA,NA,NA,NA
"HMSB",-6.71,8.22,NA,NA,NA,NA
"HDB",2.21,2.88,NA,NA,NA,NA
"RDL",24.45,0.61,NA,NA,NA,NA
"RPB",1.01,8.16,NA,NA,NA,NA
"RMSB",-13.28,12.08,NA,NA,NA,NA
"RDB",1.37,5.41,NA,NA,NA,NA
"UDL",20.97,0.58,NA,NA,NA,NA
"UMSB",-18.26,13.1,NA,NA,NA,NA
"upper",24.8,0.26,NA,NA,NA,NA
"lower",32.13,0.17,NA,NA,NA,NA
"lm_step",18.92,0.53,0.11,0.19,0.79,-0.15
